172705;3.865000;964.148987;960.283997;108.875381
31409;2.242000;942.931030;940.689026;107.314972
200110;9.865000;877.786011;867.921021;101.584351
32430;3.149000;826.698975;823.549988;66.825867
30644;90.222000;902.333984;812.112000;496.277985
59689;1.918000;806.265991;804.347961;73.772659
286095;56.715000;854.859985;798.144958;455.787506
12167;32.462002;830.208984;797.747009;431.335480
180463;2.923000;800.070984;797.148010;67.124397
48290;47.926998;843.538025;795.611023;445.732513
235046;75.334999;869.304993;793.969971;472.320007
21460;3.445000;793.896973;790.451965;114.975433
262737;4.974000;795.260010;790.286011;79.518661
158585;3.168000;786.901978;783.733948;81.895622
986;33.053001;811.098022;778.045044;422.075500
12157;2.229000;777.966003;775.737000;73.979462
115415;21.164000;793.403992;772.239990;407.283997
274502;1.991000;770.591003;768.599976;60.207348
164469;35.820000;800.731995;764.911987;418.276001
299333;1.844000;765.979980;764.135986;52.621162
167454;1.594000;765.392029;763.798035;53.262112
294090;1.527000;764.793030;763.266052;67.178604
224254;1.717000;764.737000;763.020020;41.404236
25792;22.589001;782.940002;760.351013;104.469788
105810;3.102000;763.385010;760.283020;70.449234
125473;72.009003;831.296021;759.286987;451.652527
192568;210.725998;969.297974;758.571960;590.011963
290146;81.182999;835.192993;754.010010;458.187988
245861;90.010002;843.442993;753.432983;466.726501
41318;120.329002;871.885986;751.557007;496.107483
75007;98.821999;850.015991;751.193970;474.419006
297439;23.700001;773.536987;749.836975;398.618500
132093;12.698000;759.916016;747.218018;142.448425
169512;3.651000;748.312988;744.661987;111.817001
142350;64.982002;806.706970;741.724976;435.844482
39164;2.439000;739.393982;736.954956;60.368721
209123;2.205000;739.140991;736.935974;72.141991
172652;106.244003;834.078979;727.834961;470.161499
181963;2.651000;728.742004;726.091003;47.952415
18605;4.004000;729.921021;725.916992;71.671478
74144;97.219002;820.390991;723.171997;458.804993
110567;73.783997;795.599976;721.815979;434.691986
127819;92.439003;813.645020;721.205994;453.042023
113502;3.010000;723.513000;720.502991;78.969521
233969;3.794000;723.768005;719.973999;66.190308
226944;2.379000;722.146973;719.767944;51.934814
73697;3.826000;723.130005;719.304016;65.228233
147623;59.084999;776.952026;717.867004;418.018524
165538;91.411003;808.963013;717.552002;450.187012
95796;11.419000;728.731995;717.312988;116.052490
